gdb_id,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
1015,1.1584,92.04,-6.94788324993585,-0.81498101803775,6.1329022318980995,1755.7566,5.8406247322405545,-14660.490781442173,-14660.174476288463,-14660.14876152846,-14661.480133023268,45.139
1044,0.1714,109.64,-6.3938594259876504,0.8696759043902,7.26353533037785,1545.1973,7.249684734779145,-11694.40173427461,-11694.120504597768,-11694.094789837767,-11695.340010083723,43.129
1046,2.0846,103.64,-5.7927599038356,1.01852218715035,6.81128209098595,1640.5785,5.557082087567656,-12062.567436347661,-12062.29431566392,-12062.268628115304,-12063.505195140437,40.836
1077,2.9687,101.51,-6.1035139347535,-0.45851185822825,5.64500207652525,1655.3914,5.9172792072927205,-12640.119911949236,-12639.844315029346,-12639.81862748073,-12641.077916013375,40.829
1082,1.271,109.95,-6.4773983817598,-0.84872313698155,5.62867524477825,1851.5399,5.76571178590807,-12637.575103107603,-12637.22973619338,-12637.204048644766,-12638.615993054247,48.247
1101,2.4534,90.41,-6.82543201183335,-1.0879112220751,5.73752078975825,1732.1216,4.859708680880795,-15063.718191423588,-15063.405450961474,-15063.379763412859,-15064.720060242356,43.201
1104,3.391,99.55,-6.486922366945549,0.70722392850755,7.1941462954531,1749.9045,5.561054949959424,-13076.282432792583,-13075.976740079506,-13075.95105253089,-13077.262042697403,43.714
1135,5.0912,97.85,-6.4888271639827,0.5679016309331499,7.05672879491585,2036.1403,6.222999131755295,-14120.538727240077,-14120.226095623508,-14120.200408074892,-14121.54201105093,44.314
1142,4.0931,97.07,-6.3712739754043,0.62613399749745,6.997407972901749,1808.7418,5.84021656144688,-13545.05339180599,-13544.722202024004,-13544.696514475389,-13546.091887150644,45.198
1184,3.7964,100.39,-6.0278662809923995,-0.028299841694799998,5.9995664392976,1648.7559,5.59553177633184,-13076.686195341685,-13076.408367088125,-13076.382679539509,-13077.645124592958,40.486
1190,1.9222,108.91,-6.0539892117876,0.342863466687,6.3968526784746,1901.4452,6.51533105418533,-12671.134062210587,-12670.82164828511,-12670.795960736494,-12672.13141393924,44.594
10010,1.4651,101.48,-6.52175294133915,0.26150142181445,6.7832543631536,1578.2418,5.945388569283804,-12639.238371880441,-12638.975537100701,-12638.949849552086,-12640.15640241819,40.606
10047,1.4154,105.77,-6.2509996482014,0.59130342310385,6.84230307130525,1689.3481,6.565644907352335,-12671.258935262065,-12670.967093144587,-12670.941405595971,-12672.221837375731,43.206
10055,1.2869,105.85,-6.3658316981553,0.070749604237,6.4365813023923,1630.3635,6.578488681659975,-12670.367218134817,-12670.09420629662,-12670.068518748005,-12671.29528967409,41.806
10093,1.2955,105.59,-5.9631031817293,-0.32463183790285,5.63847134382645,1662.0777,6.586325560898535,-12670.605807569413,-12670.337176764402,-12670.311489215786,-12671.535566214632,41.321
10132,3.5885,93.03,-6.4988953768933495,-0.77960621591925,5.719289160974101,1595.3279,4.998323482412824,-14055.034090490415,-14054.772316954739,-14054.746629406125,-14055.977237137668,38.004
10170,1.0364,96.38,-6.939447720199901,1.2057365245159501,8.14518424471585,1657.9276,5.228912769452955,-13614.005983306757,-13613.722603930402,-13613.696916381787,-13614.957565483744,41.714
10217,3.632,79.17,-6.91169210623,-1.46859851564265,5.443093590587351,1469.2077,3.9750120912833546,-15573.426776245562,-15573.16750615742,-15573.141818608807,-15574.384861943863,35.895
10219,1.9197,96.9,-6.4485543123401,0.48735592764795,6.935910239988051,1914.1783,5.171877703883435,-13614.29461448066,-13613.9782004814,-13613.952512932785,-13615.318769424763,43.336
10244,2.6754,87.09,-6.26378899973655,0.49960105145820005,6.76339005119475,1838.0257,4.60460193483392,-14489.697481642756,-14489.407326631224,-14489.381639082609,-14490.702860730347,39.221
10252,4.364,94.3,-6.917134383479,-1.6381254519489998,5.27900893153,1827.8751,3.927283319809625,-14562.448564972232,-14562.153294220088,-14562.127606671473,-14563.441726147401,39.717
10272,0.4607,105.7,-5.7938483592854,-0.41878323431055,5.37506512497485,1666.8094,5.273838768143451,-12605.843415802354,-12605.56648552454,-12605.540797975924,-12606.793610198643,40.625
10274,1.3293,107.03,-5.9582051322052,-0.5480373189743001,5.4101678132309,1751.0077,5.24107625910447,-12604.265672416484,-12603.982537942604,-12603.95685039399,-12605.220955342,41.193
10275,1.1438,105.95,-6.00691351358375,-0.3961977837272,5.61071572985655,1680.4406,5.26469574236513,-12605.49445698515,-12605.214397397916,-12605.1887098493,-12606.459263895853,39.96
10284,5.4871,87.84,-7.8259946840620005,-2.2737834346322,5.5522112494298,1799.1764,3.6464346023749803,-15000.610360785771,-15000.324858921289,-15000.299171372673,-15001.598868813895,37.636
10288,5.951,98.58,-6.2303189946552,-0.2351063771568,5.9952126174983995,1884.1322,4.64509247756648,-13481.79638834878,-13481.493226294624,-13481.467538746008,-13482.817386772078,40.512
10297,5.7049,102.8,-6.7070624816676,-1.09906789043555,5.60799459123205,1733.924,4.933505960377235,-13043.745914316367,-13043.45159596274,-13043.425908414127,-13044.736408775685,40.881
10330,6.4092,88.58,-7.265984355139899,-1.2642410049427,6.0017433501972,1656.3665,3.97204605018265,-14459.260729786132,-14458.965867204784,-14458.940179656169,-14460.267061272247,38.997
10344,4.1481,96.9,-6.8948210467581,-2.1682032560016,4.7266177907564995,1796.3321,3.637101096892945,-13990.188595149766,-13989.901787138744,-13989.876099590128,-13991.189429935857,37.614
10355,3.3534,105.32,-6.37644413879085,-1.0743055289526,5.3021386098382495,1734.2941,5.159986328094369,-12606.706914722068,-12606.37790185098,-12606.352187090979,-12607.742552871166,44.599
10389,4.2777,96.8,-6.48583391149575,0.29714833779539995,6.78298224929115,1681.7821,5.2207765649657,-13513.451829349768,-13513.130789414849,-13513.105101866233,-13514.450813761594,44.421
10434,3.5644,106.19,-6.0806563703076995,-0.88246525592535,5.19819111438235,1724.8537,4.678480848489095,-12471.974198397294,-12471.71422081311,-12471.688533264494,-12472.914215735129,36.637
