id,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
1179,2.815276826,110.980631,-6.284499041808074,0.3703970357585893,6.654896077566663,2233.786118,6.647045973594103,-14707.813260241894,-14707.473041721938,-14707.447348731046,-14708.836704968853,49.0712038
1181,5.191089764,113.4621607,-5.655791228108427,-0.5047126287484898,5.151078599359937,2077.527606,6.398169573744233,-14136.239118014179,-14135.927076884678,-14135.901383893786,-14137.239966405998,45.557153400000004
1183,2.493215191,105.8877828,-6.232806714234793,-0.5614311170524948,5.671375597182298,1827.715084,6.065273284078669,-14677.197672432623,-14676.903873816464,-14676.878180825572,-14678.177932689608,43.8001282
1191,2.631885477,114.60974,-6.254977789829209,-0.13985381758700144,6.115123945030821,2038.356173,7.342134521837367,-13731.575926434238,-13731.252570810339,-13731.226877819447,-13732.585264778569,47.6279331
1200,1.137774496,117.4264594,-6.1573291316349845,0.40276541508037195,6.560094546715356,2226.560569,6.704843148460285,-13697.554866289945,-13697.259494855662,-13697.233801864766,-13698.52094669356,44.6786408
1214,2.419487124,116.2988612,-5.900246049807186,-0.6168543977939633,5.283391652013223,1836.04645,6.054129187378259,-13667.825926126696,-13667.528900240128,-13667.503207249234,-13668.797002540825,44.1766336
1241,3.445233912,116.5728201,-6.1639910776384985,-1.021637292261999,5.142353812587886,2093.706616,6.712623455227124,-13700.613559439786,-13700.297716879628,-13700.272026609875,-13701.613079915958,45.7454061
1243,2.919465003,109.0235258,-6.314904065189436,-1.1521504205606576,5.162753617417392,2006.472579,6.036860379072989,-14677.834935887118,-14677.512021087674,-14677.486328096782,-14678.857716656252,45.7454061
1245,0.92882698,118.9994269,-6.023893935835686,0.9159206213141557,6.939814557149842,2272.632548,7.352566061177539,-13731.973120154717,-13731.657805495453,-13731.63211250456,-13732.964792867095,47.063174999999994
1246,1.044315502,113.8264079,-5.680290863658071,0.7099457746538692,6.390236638311941,2100.849511,6.75242432537675,-13699.852225669703,-13699.55445691229,-13699.528763921397,-13700.8351145466,44.8041426
