gdb_id,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
1179,2.7649,110.82,-6.356579826832,0.29605988234560005,6.6526397091776,2233.3734,6.646462724499985,-14717.33019714459,-14716.99193240218,-14716.966217642179,-14718.349481250556,49.038
1181,5.1714,112.81,-5.73425542340885,-0.57334390818215,5.1609115152267,2077.2258,6.396335662135945,-14145.483867604436,-14145.173222419062,-14145.147534870446,-14146.480348568726,45.542
1183,2.4911,105.52,-6.29698689095545,-0.62776668067215,5.6692202102833,1827.416,6.06400300192576,-14686.515642401348,-14686.223364901689,-14686.197677353073,-14687.489401858124,43.753
1191,2.6325,113.8,-6.3146742920147,-0.19918734731340001,6.1154869447013,2038.0085,7.334366568773586,-13740.986556649737,-13740.663094901443,-13740.637407352828,-13741.99288813585,47.685
1200,1.1273,116.6,-6.235217044179301,0.32653663494,6.5617536791193,2226.2347,6.6979466672755255,-13706.7780345457,-13706.482410045533,-13706.456722496918,-13707.744256448486,44.717
1214,2.4077,115.63,-5.98296749368815,-0.69525091855975,5.2877165751284,1835.7654,6.04996192662334,-13676.871823086698,-13676.574892439992,-13676.549204891377,-13677.8425620796,44.148
1241,3.4303,115.81,-6.2265094005809,-1.0884554498,5.1380539507808995,2093.3808,6.70640940839772,-13709.839125018558,-13709.522901499004,-13709.497213950388,-13710.840585666532,45.768
1243,2.9198,108.82,-6.37916527741535,-1.22206335626295,5.1571019211524,2006.1182,6.034043265670015,-14687.163001280116,-14686.841634808563,-14686.815947259947,-14688.182475865784,45.711
1245,0.9126,118.18,-6.1018812515788,0.8402876072456,6.942168858824401,2272.2836,7.346149099017669,-13741.376386969083,-13741.060517197551,-13741.034829648937,-13742.369765835345,47.099
1246,1.0371,112.89,-5.75765721557955,0.6454540817314001,6.40311129731095,2100.4563,6.74793398380759,-13709.076634764588,-13708.780248345605,-13708.754533585605,-13710.054720831777,44.834
1259,1.7022,119.6,-6.24419680164015,0.6487194480808,6.892916249720949,2735.8441,7.909397582902925,-13773.582042199945,-13773.206824395014,-13773.181109635012,-13774.69866143451,52.372
1260,1.799,115.97,-6.34651161392135,0.3178289913416,6.664340605262949,2063.6285,7.343944976731825,-13741.500525313133,-13741.178043174743,-13741.152355626127,-13742.498312423964,48.136
1261,0.731,121.67,-6.3054224206914,0.66531839369025,6.97074081438165,2085.823,6.657619392860434,-12696.650750531635,-12696.329765019487,-12696.304077470873,-12697.645190641959,47.721
1265,4.6438,116.19,-6.220522895607,-1.3725423221978,4.847980573409201,1896.8954,6.006342074472605,-13673.43309299553,-13673.1085155804,-13673.082828031784,-13674.4343631638,46.774
1269,1.48,118.69,-6.46515325794955,0.6155215568619,7.08067481481145,2206.1403,7.957833850419025,-13772.781047834438,-13772.427952886523,-13772.402265337907,-13773.81108043797,51.635
1273,0.7932,131.11,-5.75167071060565,-1.0732170735028002,4.67845363710285,2251.0439,6.65797314088162,-12696.748357774097,-12696.416378861906,-12696.39069131329,-12697.751042934451,48.956
1285,1.6976,121.04,-6.16365109835495,0.6968836017344501,6.8605347000894,2756.7061,7.931792553782561,-13773.652410844776,-13773.285927894829,-13773.260240346213,-13774.733301529199,51.981
1300,1.6322,114.53,-6.9612168291959,2.11241991419935,9.07363674339525,2233.0337,7.9625142088531655,-14783.35612242055,-14783.01559913308,-14782.989884373079,-14784.379324966134,50.098
1303,3.8594,110.85,-6.33998088122255,0.7624630425848999,7.10244392380745,2234.9568,6.270238098276614,-14144.603851373273,-14144.239926293632,-14144.214238745017,-14145.7017491741,49.464
1334,4.0507,96.71,-6.86951445755025,-1.19430774229305,5.675206715257199,1836.3848,5.708894411428511,-16134.216058310312,-16133.894256456579,-16133.868568907963,-16135.225355837525,45.98
1354,1.9093,109.32,-6.4534523618642,-0.4511647839421,6.0022875779221,2620.0043,6.600802018380875,-14718.24526164124,-14717.894534083927,-14717.868846535312,-14719.340928108393,47.993
1366,1.0117,118.68,-5.5652727148274,-0.408170793675,5.1571019211524,1873.7972,7.3499586930919705,-13737.520860074803,-13737.214378231525,-13737.18869068291,-13738.480360765187,47.471
1369,4.2192,104.27,-6.34487893074665,-0.32408761017795,6.0207913205687005,1951.8492,6.641129292795965,-15728.68735418277,-15728.352817400275,-15728.32712985166,-15729.699590539698,47.829
1434,1.0713,115.66,-5.94160618659575,-1.4460130650593,4.49559312153645,2008.0282,5.69730236088814,-15121.42594967247,-15121.108964234105,-15121.08327668549,-15122.423437458056,46.097
1442,0.9779,116.9,-5.760378354204049,-0.9551196571995,4.80525869700455,1953.576,6.07091469403199,-13676.097169343075,-13675.802959834993,-13675.77724507499,-13677.069377750835,43.685
1444,0.7096,119.19,-5.5859533683736,-1.5336337287682,4.0523196396053995,1903.3881,5.96070857973974,-13672.45239463526,-13672.128279813696,-13672.10259226508,-13673.440494492588,48.058
1448,1.2837,117.37,-6.051812300888,0.8440972013199,6.8959095022079,2092.4749,7.3552377020235,-13741.672174737567,-13741.355815161083,-13741.330127612468,-13742.664573993923,47.088
1450,2.4354,109.2,-6.111677350627,1.64220715988575,7.75388451051275,1801.6872,7.352271660922796,-14750.836475003807,-14750.519081394646,-14750.49339384603,-14751.821744876966,47.87
1453,1.2606,120.1,-6.08419385051955,0.48409056129855,6.5682844118181,2250.0203,7.30152242557587,-13740.51166353699,-13740.178568957965,-13740.152881409349,-13741.54722005193,48.285
1456,1.4759,116.27,-6.4006622725489,0.41225250161175003,6.8129147741606495,2154.7865,6.622407859059405,-13706.928976105199,-13706.58662965485,-13706.560942106235,-13707.958056310214,49.436
1459,1.064,112.66,-6.29372152460605,0.19619409482645,6.4899156194325,2069.326,6.649918570553099,-14717.90182673544,-14717.58296371142,-14717.557276162808,-14718.903450651733,46.609
1462,1.171,99.93,-6.5639305900189,-0.22531027810859997,6.3386203119103,1926.4528,5.625763626450035,-16130.963644580765,-16130.610930592258,-16130.585215832258,-16132.00793595069,48.757
1465,1.7634,110.57,-6.42107081223265,1.2511795395451,7.672250351777749,2114.0955,6.033879997352545,-13673.462045910495,-13673.15409465236,-13673.128407103746,-13674.46625490848,44.869
11699,4.6715,111.42,-6.7473353333102,0.15837026794589998,6.9057056012561,1955.5601,5.78214746320005,-13102.059806193858,-13101.777352004634,-13101.75166445602,-13103.023306958019,41.844
11716,2.8985,113.26,-6.323109821750649,0.70450278988305,7.0276126116337,2223.7982,7.23099051242883,-14751.136126789135,-14750.755112958934,-14750.729425410318,-14752.19832325121,53.153
11718,0.2997,124.69,-6.069227588084799,0.843552973595,6.912780561679799,2149.3474,7.326638535080005,-12731.24336135252,-12730.913260025985,-12730.88757247737,-12732.26457746691,48.073
11740,4.7061,115.47,-6.382702757627199,0.1551049015965,6.5378076592237,2270.5289,6.337178108439315,-14145.724171356365,-14145.381933751563,-14145.356246202948,-14146.783238509019,47.594
11748,1.4443,122.51,-6.117119627876,0.06503521312555001,6.18215484100155,2362.0362,6.65568738443704,-13710.006556678121,-13709.674087960982,-13709.648400412367,-13711.034385159368,47.024
11750,2.4039,125.81,-4.59899638926745,-0.31973378837875,4.279262600888701,2073.869,5.756405491812281,-13104.413482258504,-13104.098809787967,-13104.073122239353,-13105.421446427792,44.579
11770,1.1368,123.06,-5.03709970781195,0.10149847069385,5.1385981785058,2054.9653,6.41236316863425,-13136.017412105331,-13135.704127415493,-13135.678412655492,-13137.022219753813,44.796
11771,1.3511,118.48,-6.1192965387755995,0.15401644614670001,6.2733129849223,2215.6936,6.09219399807558,-13677.577087795395,-13677.272674017471,-13677.246986468857,-13678.588861558757,43.237
11786,1.7942,109.42,-6.323926163338,0.15592124318385,6.47984740652185,1883.1994,6.023702938896915,-14686.738830191329,-14686.419558996515,-14686.393871447899,-14687.735692115026,45.651
