gdb_id,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
105,2.9544,83.13,-6.16201841518025,0.40408908573825003,6.566107500918499,1556.0338,4.2045945570324195,-12882.339889698202,-12882.08127268333,-12882.055585134714,-12883.301431242555,34.801
1020,1.2904,95.41,-6.63168694176895,1.40710078272895,8.038787724497901,1804.0216,5.64217209235577,-11601.121864145565,-11600.798783356677,-11600.773068596676,-11602.140195853011,44.18
1024,3.1069,85.28,-6.55059701075885,0.6487194480808,7.19931645883965,1315.7931,5.448454233677615,-13051.198922529169,-13050.916495551332,-13050.890808002718,-13052.150967299722,40.042
10012,0.5196,99.17,-6.44283992122865,0.8443693151823499,7.287209236411,1364.6143,5.72380625109077,-10591.585937977377,-10591.304762723308,-10591.279075174692,-10592.522390623611,41.079
10041,5.0014,97.9,-6.6134553129848,-1.0372980436594,5.5761572693254,1438.9043,4.8308374000748495,-10996.526032609052,-10996.277619864022,-10996.251932315407,-10997.44697476513,35.61
10070,1.4727,94.05,-6.290456158256649,0.51946536341705,6.8099215216737,1293.3249,5.795807579095039,-11603.077628109151,-11602.821759444289,-11602.796044684288,-11603.99818930582,37.924
10176,1.1778,92.87,-6.48964350557005,0.64409351241915,7.1337370179892,1256.4143,5.841168959965454,-11602.911557018899,-11602.679960910567,-11602.654246150565,-11603.795328421364,35.825
10282,1.7132,84.38,-7.575377816745551,-1.56438259522505,6.0109952215205,1391.1142,2.537069923384322,-12345.263779696954,-12345.017815976686,-12344.992128428072,-12346.20132079864,32.272
10345,3.4268,89.29,-6.88366437839765,-1.51322518908445,5.3704391893132,1487.8661,4.127069317620415,-11975.899035100405,-11975.619955123075,-11975.594267574459,-11976.8854206404,36.475
10463,1.339,88.75,-6.3897777180509,0.3994631500766,6.7892408681275,1375.9883,5.113373223456685,-12579.93923734118,-12579.675722276783,-12579.65000751678,-12580.885322818145,36.441
10874,3.0834,92.79,-6.575903599966701,0.2204122285845,6.7963158285512,1534.3504,5.770637046818415,-12613.357704056982,-12613.07407977815,-12613.048392229533,-12614.321504146392,40.077
100140,0.2028,101.99,-5.8792921120947,0.9725349443963001,6.851827056491,1469.575,6.402648703744785,-10625.017819906598,-10624.739202522835,-10624.71351497422,-10625.981565573236,39.677
100187,6.1892,89.08,-6.055621894962299,-0.16190774815775,5.89371414680455,1702.6992,3.86227531807032,-12412.614110352843,-12412.343629173567,-12412.317914413567,-12413.584087426932,35.771
100518,0.7754,89.49,-5.97534830553955,-0.2378275157813,5.73752078975825,1583.2655,3.79860067425702,-12514.846989150059,-12514.573541929683,-12514.54785438107,-12515.811088564718,36.803
